Nomor Peserta,Nilai Akademik,Nilai Portofolio,Essay
109104,60,66,70
108103,63,70,83
107821,63,64,81
102115,99,63,82
105773,69,63,68
101508,79,88,77
105179,81,76,87
108482,96,75,79
109143,83,79,85
102404,66,67,80
109710,84,70,71
107915,84,63,92
105445,72,96,61
100459,61,76,74
107008,98,72,61
100634,99,89,97
101004,83,97,97
108024,84,90,85
105177,77,90,92
108793,97,69,82
100070,85,74,76
102789,73,75,79
108204,68,67,61
107265,69,98,72
102648,80,82,63
103547,76,78,86
109911,65,83,70
109593,75,76,97
108581,60,66,69
102413,78,82,74
108082,95,90,92
108402,84,90,76
102659,89,98,67
101359,79,70,87
100418,79,61,93
109583,74,99,89
103318,99,81,79
107597,92,88,92
101223,61,67,73
106581,69,81,90
107043,92,92,68
101816,91,74,67
105302,70,84,62
100416,83,70,87
105352,95,68,83
101778,71,72,84
104903,88,86,90
104493,94,65,88
104997,60,62,64
105422,60,85,96
100917,96,87,99
101933,65,96,88
106480,98,94,100
104194,100,90,87
102838,77,72,85
103227,75,60,62
107357,64,79,85
108883,91,62,79
107271,61,72,69
109711,61,90,77
101044,99,83,76
101050,95,61,85
102619,98,66,78
109561,71,73,66
101337,78,84,73
108339,87,77,60
107368,60,99,92
108014,74,78,97
102526,95,88,82
100519,72,73,100
102759,80,87,99
100629,71,70,64
102234,64,95,62
107089,66,62,69
108985,64,71,72
107696,63,84,88
106011,72,100,97
108299,96,79,63
108314,100,80,78
103551,74,92,79
100431,75,91,89
105200,80,60,61
107148,95,98,69
101520,83,70,75
103499,75,72,72
103301,73,75,61
106539,81,74,99
103843,65,66,80
101675,95,79,76
108289,60,60,98
101854,91,71,66
106824,65,85,76
109283,90,75,76
107444,60,96,93
106562,96,76,66
105490,94,86,86
100894,89,93,84
104262,63,74,86
106397,94,66,85
104931,73,95,77
102650,99,96,63
107218,81,82,90
109334,69,86,71
109382,60,87,80
105536,70,71,97
101220,83,91,99
105034,62,63,77
107407,94,95,98
104155,95,73,83
107596,90,91,86
103801,63,74,67
105555,78,78,60
108142,95,70,73
100133,80,98,72
108674,77,60,81
106111,87,92,96
109020,74,93,84
102904,61,100,64
104888,96,61,96
109811,70,74,86
104545,82,91,93
107723,100,63,71
101717,71,81,76
109053,62,63,99
108324,76,84,71
108198,92,70,67
103304,60,64,89
101563,98,67,71
106527,79,74,92
107021,100,94,60
103190,73,67,84
100663,90,100,96
106002,84,96,90
109635,62,79,72
100295,63,70,88
106479,90,85,98
108540,94,97,91
105375,73,63,63
106676,100,83,70
107115,68,77,68
108651,79,90,88
101792,91,82,85
107743,68,63,71
103371,86,100,64
109286,62,68,89
106180,63,81,87
102099,74,66,76
106714,92,74,98
107476,64,80,67
106059,63,98,86
101189,71,78,87
103665,82,72,88
108323,73,79,75
103727,71,94,78
100960,76,83,90
102942,84,98,79
104451,89,71,92
106636,81,71,87
109522,85,97,68
101832,76,77,64
100468,79,100,87
105547,93,84,99
107291,100,73,61
109434,92,75,77
107692,96,79,69
103449,66,98,94
104149,81,80,82
108254,91,82,60
109884,73,100,88
105462,67,97,92
109695,84,100,95
101617,75,76,94
107921,78,90,95
109625,100,68,75
103999,75,76,84
106396,71,89,88
106757,98,69,66
108462,89,64,76
106693,61,64,68
104445,91,92,77
101598,84,67,94
100612,84,72,62
100638,63,82,68
106975,78,66,71
109683,63,80,100
103529,72,89,67
101874,98,77,85
109758,95,64,80
105886,82,94,98
108951,65,77,83
100824,83,63,94
107578,92,72,96
109751,71,91,61
109063,100,68,83
100589,80,88,64
100297,70,73,73
109833,97,93,74
103373,88,88,94
108981,100,85,92
102282,62,73,93
102424,87,87,76
102313,79,89,62
103403,85,67,66
102438,83,86,80
107931,80,62,99
108912,89,70,98
108633,63,64,62
106083,95,86,69
102752,99,62,86
109687,69,88,95
107403,69,70,99
109723,83,80,79
101499,63,64,95
107023,86,74,72
100286,63,66,61
105650,91,89,84
106930,69,83,87
100953,70,62,60
104276,87,90,70
104879,67,63,95
106352,99,89,63
104470,81,80,85
106995,93,75,87
103912,94,86,85
102326,94,87,71
101931,84,84,76
106580,93,65,82
108630,65,73,68
101009,100,73,94
104817,96,61,80
107994,60,98,60
107779,71,73,89
106616,94,100,91
105188,65,68,97
107664,76,96,87
101016,68,67,98
108040,61,83,71
107843,77,71,68
105528,95,64,100
104209,87,62,94
109655,100,84,68
104677,96,91,89
105291,85,60,95
103074,63,89,83
105296,99,89,88
107954,95,71,96
108621,90,85,81
103737,89,75,83
107072,93,83,90
103979,78,69,97
100633,77,63,85
107771,89,67,64
101234,80,90,80
107767,62,70,88
103212,65,76,85
103718,97,62,64
101060,72,86,75
108448,62,94,62
102845,87,89,67
102184,81,71,62
107286,99,90,91
109607,99,64,86
105156,71,91,66
108265,82,96,62
103016,90,82,85
100387,77,98,98
106659,66,91,75
106172,67,84,87
103809,78,91,87
106254,88,100,88
100535,79,66,85
106210,89,61,60
102229,81,65,98
100712,69,63,71
109854,85,85,81
106140,92,65,66
104146,87,94,85
100492,69,92,79
